SIG_CD,시군구명,2019_노인청소년_예산,"2020_노인,청소년_예산",예산변화량,2019_전체예산,2020_전체예산,2019_노인1인인구,2020_노인1인인구,2019_노인인구,2020_노인인구,총복지시설,노인주거복지시설,노인의료복지시설,노인여가복지시설,재가노인복지시설,노인일자리 지원기관,학대피해노인전용쉼터,치매전담형 장기요양기관,총 종사자수,노인주거복지시설 종사자수,노인의료복지시설 종사자수,노인여가복지시설 종사자수,재가노인복지시설 종사자수,노인일자리 지원기관 종사자수,치매전담형 장기요양기관 종사자수
경상남도,사천시,0,0,0,783756,813382,5455,5766,22641,23428,392,1,17,343,27,1,0,3,659,12,452,0,178,5,12
경상남도,김해시,145440,3032,-142408,1853360,2159215,11179,12296,53753,57532,604,0,15,563,24,2,0,0,651,0,385,75,181,10,0
경상남도,밀양시,76636,82460,5824,909777,956623,7443,7787,27561,28549,460,0,18,431,10,1,0,0,393,0,334,0,49,10,0
경상남도,거제시,66228,78876,12648,864741,1179446,4663,5241,23456,24892,349,2,6,322,17,1,0,1,693,16,227,0,438,5,7
경상남도,양산시,117532,137913,20381,1249949,1448673,8926,10111,41664,44631,354,2,20,312,13,2,0,5,660,23,431,34,124,24,24
경상남도,의령군,37192,38552,1360,541205,522770,2976,2962,9584,9689,307,2,5,295,5,0,0,0,135,18,99,0,18,0,0
경상남도,함안군,63613,65263,1650,529491,609744,3925,4139,14825,15354,359,1,12,332,14,0,0,0,432,12,247,0,173,0,0
경상남도,창녕군,76959,86018,9059,611913,671239,4893,4996,18034,18426,420,2,7,401,9,1,0,0,221,40,138,0,35,8,0
경상남도,고성군,53016,59038,6022,635606,668413,4009,4134,15158,15577,342,0,9,325,7,1,0,0,257,0,188,0,64,5,0
경상남도,남해군,55926,58478,2552,554453,593792,4500,4502,15910,15987,283,0,4,266,13,0,0,0,361,0,150,3,208,0,0
경상남도,하동군,53722,60242,6520,606960,687975,3738,3843,14849,15120,401,0,9,385,6,0,0,1,335,0,230,26,74,0,5
경상남도,산청군,45581,54627,9046,524256,550704,3236,3297,12091,12444,370,0,10,344,16,0,0,0,607,0,366,0,241,0,0
경상남도,함양군,46521,51591,5070,536384,571803,3640,3759,12620,12836,431,0,8,410,13,0,0,0,306,0,226,0,80,0,0
경상남도,거창군,59696,66484,6788,755662,683514,4472,4599,16214,16603,463,0,9,441,12,1,0,0,424,0,238,14,161,11,0
경상남도,합천군,57028,62624,5596,673109,723649,4994,5057,17088,17244,539,0,6,525,7,1,0,0,340,0,266,0,69,5,0
제주특별자치도,제주시,331304,364400,33096,5787954,6236201,11295,12217,63813,66690,398,2,45,315,34,1,1,0,1805,24,1494,15,249,23,0
제주특별자치도,서귀포시,위에랑 나눠야함,위에랑 나눠야함,,,,5537,5966,32394,33707,194,0,20,154,18,1,0,1,886,0,700,13,164,8,1
