시도명,시군구명,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
충청북도,충주시,216446,6780,8508,8756,11719,16579,13389,11526,13940,14234,17202,18688,18957,17200,11381,8696,8590,6267,2907,906,203,18
충청북도,제천시,136093,4069,5185,5396,7972,10358,7030,6089,7743,8147,10536,11819,12338,12269,8483,6203,5919,4057,1755,561,142,22
충청북도,청주시,850938,35288,42151,40807,48529,63848,62967,56718,67374,64670,71955,71502,65421,54549,33973,24650,21154,15187,7130,2467,539,59
충청북도,상당구,173783,6187,8476,8466,10198,11025,10484,8792,11879,12730,15453,16020,14935,12645,8299,6181,5489,3948,1792,644,127,13
충청북도,서원구,210273,6943,9161,9931,13163,19424,14980,11744,14170,14902,18109,18374,17054,14420,9024,6592,5603,3987,1860,673,145,14
충청북도,흥덕구,266301,11605,13208,12545,14242,19467,22728,20291,22416,20788,22848,22486,20281,15872,9484,6488,5264,3776,1796,567,133,16
충청북도,청원구,200581,10553,11306,9865,10926,13932,14775,15891,18909,16250,15545,14622,13151,11612,7166,5389,4798,3476,1682,583,134,16
충청북도,보은군,32001,705,863,956,1180,1207,1195,1173,1399,1426,2011,2571,3253,3564,2606,2165,2312,1981,988,380,57,9
충청북도,옥천군,49117,1095,1667,1781,1953,2336,1999,1759,2531,2739,3440,4088,4832,4891,3946,2974,2999,2327,1254,413,84,9
충청북도,영동군,48004,1187,1385,1447,2296,3278,1981,1706,2013,2303,3134,3861,4525,4751,3622,3084,3248,2527,1133,424,94,5
충청북도,진천군,87525,3699,4269,3880,4287,4846,5936,6263,7783,7061,6981,7129,6854,5692,3798,2851,2570,2224,984,338,75,5
충청북도,괴산군,38808,581,785,901,1861,3170,1675,1334,1544,1617,2190,3086,3960,4387,3219,2605,2590,1980,962,280,64,17
충청북도,음성군,104823,3069,3753,3689,4642,6345,7535,7071,7554,7387,8471,9134,9328,8433,5458,4113,3915,2873,1449,489,99,16
충청북도,단양군,28095,537,720,951,1055,965,1097,931,1191,1339,2000,2502,3169,3366,2298,1971,1862,1329,587,173,43,9
충청북도,증평군,37493,1666,1977,1677,1706,2393,2485,2318,2856,2717,2935,3095,2959,2711,1828,1357,1277,948,426,129,27,6
충청남도,천안시,679743,30225,34969,32946,40851,55397,52281,52218,60911,54905,58466,54474,49104,36006,21792,15825,13113,9536,4676,1623,380,45
충청남도,동남구,279153,9705,12369,12745,18703,26014,19668,16945,20907,21233,23473,22784,22295,17364,11121,8114,6862,5137,2573,893,222,26
충청남도,서북구,400590,20520,22600,20201,22148,29383,32613,35273,40004,33672,34993,31690,26809,18642,10671,7711,6251,4399,2103,730,158,19
충청남도,공주시,109877,2591,3501,3724,7027,9086,5911,4848,5655,6021,7496,8553,10072,9668,7018,5519,5356,4451,2442,761,154,23
충청남도,보령시,99320,2764,3754,3896,3804,4944,4991,4905,6190,6498,7797,7928,9160,8806,6807,5618,4987,3906,1815,595,140,15
충청남도,아산시,347032,16471,19820,17499,20380,24914,24351,26954,33747,29554,28983,24928,22425,17627,11854,9266,8019,6160,2967,878,203,32
충청남도,서산시,175204,7403,8766,8309,8558,9016,10193,10944,13460,13269,14729,14346,14144,11607,8466,7006,6221,5013,2668,848,204,34
충청남도,논산시,122111,3477,4239,4698,6917,7860,6755,5910,6837,7090,8750,9263,10568,10449,7832,6279,6229,5202,2637,896,191,32
충청남도,계룡시,41153,1623,2515,2996,2768,2268,1909,1682,3040,3694,4723,3782,3009,2463,1560,1075,829,683,367,137,26,X
충청남도,당진시,169171,7715,9001,7856,7364,8271,9709,11613,14688,13125,13592,12968,12976,11207,8010,6527,6019,5099,2440,764,209,18
충청남도,금산군,54442,1096,1677,2072,3033,4285,2544,2072,2578,2853,3621,4036,4869,4816,3951,3258,3271,2672,1271,379,80,8
충청남도,부여군,65337,1260,1820,2140,2559,3166,2730,2347,2788,3168,4253,4855,6230,6728,5329,4533,4534,3918,2106,732,124,17
충청남도,서천군,51826,990,1441,1539,1976,1989,2142,1906,2320,2583,3458,3768,4673,5147,4416,3896,3794,3276,1794,591,111,16
충청남도,청양군,30783,535,784,814,1309,1705,1272,1131,1197,1369,1863,2336,3049,3121,2505,2151,2201,2030,1048,304,51,8
충청남도,홍성군,102791,3597,4486,4606,6005,6515,5252,5186,6663,6777,7833,7574,8395,7586,5920,4932,4689,4022,1988,599,145,21
충청남도,예산군,78963,1580,2290,2560,3428,4044,3793,3350,3987,4278,5676,6239,7638,7430,6001,4921,4924,4088,2029,566,126,15
충청남도,태안군,60896,1385,1856,2112,2274,2848,2701,2563,3360,3502,4208,4706,5740,5969,4927,4311,3821,2731,1361,429,85,7
전라북도,전주시,662086,24032,32078,32715,42466,53428,44473,37084,46676,48721,58255,54650,51645,41987,30014,23453,18403,12845,6441,2186,454,80
