시군구코드,시도명,시군구명,2019_노인청소년_예산,2020_노인청소년_예산,2019_전체예산,2020_전체예산,2019_총인구,2020_총인구,2019_노인인구,2020_노인인구,예산인구평가지표,스케일링된 민맥스,LHIi,LMIi,LLIi,LSIi,복지서비스평가지표,복지민맥,종합평점
11150,서울특별시,양천구,125868,143077,756790,1016112,440354,439068,57941,61147,-0.2529,27.7213762,-0.406094642,-0.035396173,0.012131725,4.698280346,4.268921255,48.20896646,35.20118173
33040,충청북도,청주시,274163,317810,2905050,3308551,850938,855326,100841,106373,-0.024,59.99717992,0.570669931,0.121018311,0.25674247,-0.483981721,0.464448992,24.74085259,35.0345964
35050,전라북도,남원시,78051,91104,875395,965481,77690,78097,21444,22050,0.0112,64.96051889,-0.152981577,-0.357025352,0.951779602,-0.123231088,0.318541586,23.84081406,34.88036949
11250,서울특별시,강동구,124744,139330,852513,1089350,415287,444434,58669,63341,-0.1383,43.88042865,0.455809479,-0.098550283,0.226681939,0.529250107,1.113191242,28.74265782,34.73386239
24030,광주광역시,남구,94028,109272,475853,637044,217972,214860,34677,36162,-0.2229,31.95149464,-0.702692783,-0.414398792,0.969575443,2.721171228,2.573655096,37.75161614,34.61023611
37100,경상북도,경산시,103667,123915,1101600,1412500,290088,283733,40066,42079,-0.0898,50.71912014,0.361041941,0.866369558,0.177183507,-0.692910201,0.711684804,26.26594143,34.60893352
37040,경상북도,안동시,116892,131462,1390700,1456700,160344,159412,36850,37906,0.0138,65.32712916,0.657640082,-0.203902173,0.27467888,-0.527357383,0.201059406,23.11611824,34.14867016
37030,경상북도,김천시,96503,113142,1067200,1190000,139902,139145,30318,31252,0.006,64.22729836,-0.232154341,0.435903375,0.420981292,-0.416947273,0.207783053,23.15759345,34.04134589
34060,충청남도,논산시,92609,104031,947787,1012292,122111,119707,29161,30106,-0.0005,63.3107727,0.527184856,0.181715357,0.20506443,-0.70869984,0.205264803,23.14205948,33.89459039
25030,대전광역시,서구,123003,142263,761909,990874,480920,478629,54225,57201,-0.2305,30.87986464,0.042701262,0.645003278,-0.394727222,2.183100731,2.476078049,37.14970631,33.72586028
37060,경상북도,영주시,85166,95093,870000,913122,105235,103818,26341,27259,0.0055,64.15679639,-0.166926728,0.000716871,-0.052483397,0.330125054,0.111431799,22.563245,33.38525887
35370,전라북도,고창군,66914,75798,689048,753813,53260,52608,18076,18370,0.0018,63.63508178,0.687180006,-0.639250184,0.559137961,-0.487938299,0.119129484,22.61072863,33.36592372
38080,경상남도,밀양시,76636,82460,909777,956623,103402,103228,27561,28549,-0.0044,62.7608573,-0.702692783,-0.274699242,1.092720849,-0.042392626,0.072936197,22.32578259,32.93549391
11230,서울특별시,강남구,101546,120350,980268,1414899,509199,508135,66957,70896,-0.1781,38.26847152,1.086343072,-0.65174267,0.252296829,0.336045251,1.022942482,28.18595297,32.46234835
37080,경상북도,상주시,89932,100658,1252600,1205800,96641,95473,29100,29822,0.0288,67.44218838,-0.000783813,-0.145662192,0.461418457,-0.481996097,-0.167023645,20.845576,31.84747679
33340,충청북도,영동군,59874,58349,623825,652560,48004,47016,14373,14601,-0.0326,58.78454597,1.221296439,-0.259381024,-0.104490995,-0.888093347,-0.030668926,21.68668821,31.68441824
33380,충청북도,단양군,37506,41853,440234,473263,28095,27640,8374,8645,-0.0031,62.94416244,0.404527016,-0.067189863,0.02916875,-0.495814781,-0.129308877,21.0782218,31.58089428
11120,서울특별시,은평구,177001,201939,849865,1167115,461530,463102,77263,80567,-0.2495,28.20078962,0.107928875,0.09370548,0.968208795,0.943216504,2.113059654,34.91040571,31.19893394
11050,서울특별시,광진구,80799,98774,606302,871393,359766,353967,45432,47681,-0.2138,33.23463057,1.412481137,-0.194332324,-0.297129285,0.207918558,1.128938086,28.83979317,30.88163575
31090,경기도,안산시,184228,205568,1672679,2337986,714650,717345,62654,66438,-0.3069,20.107163,1.808344957,3.247871215,0.447217291,1.560249863,7.063683326,65.44862284,30.76322927
34080,충청남도,당진시,81830,93381,1046188,1135079,169171,168955,28986,29933,0.0079,64.49520587,0.086186338,-0.049285374,0.562924487,-0.888093347,-0.288267896,20.09767361,30.6456904
37390,경상북도,칠곡군,52512,59941,586810,630900,118517,115756,16692,17488,-0.0065,62.46474901,1.157718449,-0.055660822,-0.495663425,-0.86639818,-0.260003979,20.27202127,30.61001091
24050,광주광역시,광산구,104162,120203,748711,982054,423310,422502,34911,36487,-0.2696,25.36661027,-0.340867029,-0.080710397,0.170801391,2.871139785,2.62036375,38.03974125,30.43667607
36440,전라남도,영광군,56358,62051,609737,642286,50004,50196,15045,15194,0.012,65.07332205,0.173156489,-0.536193852,-0.191245035,0.174419672,-0.379862727,19.53266544,30.04646518
24020,광주광역시,서구,98345,117642,572910,741813,298033,294854,38468,40246,-0.1681,39.678511,-0.253896879,-0.342638277,-0.274004558,1.209331996,0.338792282,23.96573169,29.88250023
36370,전라남도,화순군,58780,68450,728769,763784,59671,60247,15996,16286,0.0307,67.71009588,-0.232154341,-0.426923579,0.130312944,0.089624632,-0.439140344,19.16700793,29.87668529
11200,서울특별시,동작구,100655,152328,651137,921933,400368,392772,59265,61994,0.0025,63.73378455,-0.702692783,-0.581475775,0.368954691,0.525271525,-0.389942343,19.47048873,29.82846637
38110,경상남도,창원시,350570,406408,3734150,4318930,1036862,1029389,131613,140151,-0.0485,56.54258319,0.260126639,-0.136525614,-0.026004265,-0.43666415,-0.33906739,19.78431391,29.31224136
23040,인천광역시,연수구,85040,96764,644879,704838,374413,390260,31227,34346,-0.0212,60.39199098,-0.702692783,1.031247887,-0.429768079,-0.312457361,-0.413670337,19.32412118,29.27945482
22310,대구광역시,달성군,82720,100466,847000,1011300,258474,261013,28767,30558,-0.029,59.29216018,-0.210411803,0.436562755,-0.054022894,-0.574645614,-0.402517556,19.39291778,29.22658316
31370,경기도,가평군,60241,61380,577612,656334,59823,60233,14802,15423,-0.0563,55.4427524,1.128178525,-0.357555527,-0.086314315,-1.014249085,-0.329940403,19.84061427,29.22340786
25050,대전광역시,대덕구,71550,87419,445784,545657,179107,176393,24797,26039,-0.074,52.94698252,-0.449579718,-0.166825685,-0.698419076,1.02794553,-0.286878948,20.10624142,29.14490985
11180,서울특별시,금천구,98830,121536,558931,754299,249747,249419,35354,37196,-0.1687,39.59390863,0.238384102,-0.030611248,0.130293941,-0.168570369,0.169496425,22.92142011,29.03443465
31160,경기도,군포시,82901,102384,835547,979993,275154,275571,31712,33726,-0.0072,62.36604625,-0.702692783,0.797563981,-0.148301568,-0.438635104,-0.492065475,18.8405361,28.93878087
37320,경상북도,의성군,78609,84261,745716,730000,49477,49243,20570,21005,0.017,65.77834179,-0.319124492,-0.257421832,0.354237844,-0.33810177,-0.56041025,18.41894729,28.77925936
23050,인천광역시,남동구,155500,185745,891656,990333,533119,528927,62248,66423,-0.0001,63.36717428,-0.275639416,0.036797612,-0.209095021,-0.09169582,-0.539632645,18.54711518,28.6953177
34020,충청남도,공주시,6129,4917,1096500,1007879,109877,108333,25546,26448,-0.0041,62.80315849,-0.079956577,-0.098951252,0.05315772,-0.42288214,-0.54863225,18.49160058,28.57086817
11100,서울특별시,도봉구,132978,149088,666056,907582,323543,315979,55926,58664,-0.2702,25.2820079,0.208844177,0.840789809,0.318745862,0.387370744,1.755750592,32.70632346,28.51889367
