"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
"행정구역별(읍면동)",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"대구광역시",2429940,83746,103487,104830,131202,167561,161994,138781,172733,175876,213400,214280,211437,177148,124986,91533,76857,49325,22443,6870,1301,150,2410700,75767,102474,104457,120738,164883,163122,138022,160788,175075,204666,214621,206714,185094,135142,97519,75796,51639,25076,7468,1454,185
"읍부",236543,14353,14183,11226,11042,12958,15242,18311,23738,20180,19453,18601,18203,14236,9024,6086,4695,3077,1429,421,79,6,237111,13136,14432,11665,10428,12678,14861,17537,22416,21125,19398,18835,18214,15376,10102,6737,4745,3208,1625,485,100,8
"면부",21931,877,944,571,683,905,1419,1675,1776,1412,1383,1448,1741,1784,1365,1070,1024,974,598,236,41,5,23902,1060,1040,732,679,898,1473,1826,2044,1683,1450,1593,1795,1931,1510,1195,1029,985,660,257,52,10
"동부",2171466,68516,88360,93033,119477,153698,145333,118795,147219,154284,192564,194231,191493,161128,114597,84377,71138,45274,20416,6213,1181,139,2149687,61571,87002,92060,109631,151307,146788,118659,136328,152267,183818,194193,186705,167787,123530,89587,70022,47446,22791,6726,1302,167
"중구",75561,2771,2759,2189,2805,5204,6558,5264,5953,4917,5670,5466,5757,5504,4255,3728,3373,2084,923,300,74,7,74278,2485,2707,2205,2575,5099,6720,5225,5567,4884,5447,5516,5432,5460,4367,3834,3208,2161,1002,306,64,14
"동구",337439,12692,14381,12629,13973,18967,21550,20371,25517,24218,26662,27336,29378,27247,20546,15682,13153,8237,3560,1087,221,32,333294,11174,13975,12545,13193,18416,21620,20002,23286,24031,25829,27154,28427,27952,22043,16576,13047,8619,4022,1104,255,24
"서구",175243,3732,4607,4818,7384,10877,12135,9109,10259,10336,13657,16503,18636,16468,12622,9116,7574,4626,1976,647,144,17,170437,3123,4459,4606,6369,10017,11822,8807,9233,9976,12767,15753,17943,16959,13470,9618,7538,4886,2227,696,145,23
"남구",147500,3249,3848,4107,6361,10610,10595,8284,9259,8925,11417,11864,13134,12954,9982,7957,7039,4707,2292,740,165,11,145588,2961,3727,3962,5711,10353,11051,8293,8658,8827,10751,11856,12466,12880,10643,8267,6816,4872,2506,818,149,21
"북구",446050,16063,19430,19995,26948,37439,30314,25081,31375,32834,41069,39625,37102,29210,19899,14653,12624,7739,3448,994,188,20,446466,14846,19370,19739,24639,36905,31072,25720,29425,32394,39884,40650,36994,31453,21709,15641,12474,8307,3877,1116,221,30
"수성구",415283,11304,18844,23704,28163,27342,23891,17887,25061,31419,42034,39571,35104,28762,20191,14993,12849,8581,4119,1240,193,31,412912,10417,18882,23770,25854,27515,24196,18025,23542,31259,40049,39975,34442,29826,21660,15874,12567,8848,4582,1358,242,29
